aiA,Borys Lang,Attack Helicopter,manymagpie,moonmoth,user,,
70,0.369030061,0.085905927,0.112928881,0.432135131,Borys Lang,,
71,0.389023043,0.301266328,0.080023462,0.229687167,Attack Helicopter,,
aiA,Borys Lang,Attack Helicopter,manymagpie,moonmoth,user,,
0,1,0,0,0,Borys Lang,,
1,0.256682386,0.743317614,0,0,Attack Helicopter,,
2,0.658159572,0.341840428,0,0,Borys Lang,,
3,0.230986691,0.769013309,0,0,Attack Helicopter,,
4,0.628962761,0.371037239,0,0,Borys Lang,,
5,0.210447515,0.330897691,0.458654794,0,manymagpie,,
6,0.284033275,0.552137207,0.163829518,0,Attack Helicopter,,
7,0.271544,0.64874689,0.079709111,0,Borys Lang,,
8,0.244456988,0.488609532,0.26693348,0,Attack Helicopter,,
9,0.35235221,0.481094533,0.166553257,0,Borys Lang,,
10,0.256079778,0.564896346,0.179023876,0,Attack Helicopter,,
11,0.140143684,0.326731483,0.533124833,0,manymagpie,,
12,0.280703082,0.227959317,0.491337601,0,manymagpie,,
13,0.686234943,0.18077059,0.132994466,0,Borys Lang,,
14,0.102800467,0.29121336,0.605986173,0,manymagpie,,
15,0.521022114,0.339529549,0.139448336,0,Borys Lang,,
16,0.101456285,0.670038127,0.228505588,0,manymagpie,,
17,0.485651279,0.259401134,0.254947587,0,Borys Lang,,
18,0.157005656,0.716248391,0.126745953,0,Attack Helicopter,,
19,0.383143642,0.105608854,0.511247504,0,manymagpie,,
20,0.222421702,0.584907973,0.192670325,0,Attack Helicopter,,
21,0.478862012,0.211699868,0.30943812,0,Borys Lang,,
22,0.183668585,0.116135368,0.254192943,0.446003105,moonmoth,,
23,0.368063831,0.316487228,0.197286533,0.118162408,Attack Helicopter,,
24,0.232241117,0.337960118,0.333198824,0.096599941,manymagpie,,
25,0.200143307,0.274104975,0.415901002,0.109850716,manymagpie,,
26,0.136655533,0.31019695,0.093274577,0.45987294,Attack Helicopter,,
27,0.410910356,0.214002345,0.092840318,0.282246981,Borys Lang,,
28,0.117874232,0.426942306,0.32871372,0.126469743,Attack Helicopter,,
29,0.12457298,0.061134253,0.227342193,0.586950574,manymagpie,,
30,0.100792747,0.674351545,0.112757887,0.112097821,Attack Helicopter,,
31,0.103154429,0.670854801,0.113093722,0.112897049,Attack Helicopter,,
32,0.274270564,0.047753492,0.346340047,0.331635898,manymagpie,,
33,0.196686157,0.120294265,0.170181721,0.512837857,moonmoth,,
34,0.300103686,0.400479073,0.186296002,0.113121239,Attack Helicopter,,
35,0.114611013,0.50252598,0.106205946,0.276657061,Attack Helicopter,,
36,0.170998308,0.391618805,0.173656872,0.263726015,Attack Helicopter,,
37,0.128012194,0.37782967,0.108403336,0.3857548,Attack Helicopter,,
38,0.116217161,0.493436912,0.105754607,0.28459132,Attack Helicopter,,
39,0.110410211,0.396518693,0.0980986,0.394972495,Attack Helicopter,,
40,0.09725725,0.386203364,0.086418429,0.430120957,moonmoth,,
41,0.803544869,0.063469199,0.073217941,0.059767991,Borys Lang,,
42,0.037903964,0.299856606,0.473282725,0.188956706,manymagpie,,
43,0.529324219,0.156487765,0.107392853,0.206795163,Borys Lang,,
44,0.084340716,0.366988165,0.358296945,0.190374174,Attack Helicopter,,
45,0.548452909,0.153047405,0.195976788,0.102522899,Borys Lang,,
46,0.275877121,0.180656974,0.441458476,0.102007429,manymagpie,,
47,0.08645567,0.44615605,0.116507092,0.350881188,Attack Helicopter,,
48,0.345125014,0.293132862,0.104280662,0.257461463,Borys Lang,,
49,0.227796456,0.148485167,0.466571577,0.1571468,manymagpie,,
