nonself,,,,,,,
aiA,User1,User2,User3,user,,,
102,0.104061,0.144833,0.52037,0.09454,0.136196,Bobby,
103,0.140616,0.200307,0.320747,0.110007,0.228323,Bobby,
104,0.129283,0.216616,0.323341,0.122012,0.208747,Bobby,
105,0.128824,0.242669,0.14258,0.270978,0.21495,Bobby,
pineapple_on_pizzaA,User1,User2,User3,user,,,
0,0.333333,0.333333,0.333333,Borys Lang,,,
1,0.333333,0.333333,0.333333,Borys Lang,,,
2,1,0,0,manymagpie,,,
3,1,0,0,manymagpie,,,
4,1,0,0,manymagpie,,,
5,0.639012,0.360988,0,Attack Helicopter,,,
6,0.304013,0.695987,0,Borys Lang,,,
7,0.084514,0.790891,0.124595,moonmoth,,,
8,0.123747,0.203647,0.672606,manymagpie,,,
9,0.360037,0.151889,0.488074,Borys Lang,,,
10,0.297375,0.458031,0.244593,Borys Lang,,,
11,0.44875,0.445757,0.105494,manymagpie,,,
12,0.138455,0.12799,0.733555,Borys Lang,,,
13,0.443841,0.321536,0.234624,Borys Lang,,,
14,0.590629,0.244172,0.165199,manymagpie,,,
15,0.288088,0.564487,0.147424,manymagpie,,,
16,0.22429,0.636123,0.139587,Attack Helicopter,,,
17,0.256261,0.207179,0.53656,Borys Lang,,,
18,0.411635,0.223886,0.36448,manymagpie,,,
19,0.241914,0.556369,0.201717,Attack Helicopter,,,
20,0.248305,0.471839,0.279856,Attack Helicopter,,,
21,0.314874,0.234947,0.450178,Borys Lang,,,
22,0.15922,0.453289,0.387491,Attack Helicopter,,,
23,0.255624,0.404302,0.340074,Borys Lang,,,
24,0.288246,0.505366,0.206388,Attack Helicopter,,,
25,0.39757,0.376017,0.226413,Attack Helicopter,,,
26,0.368724,0.3793,0.251976,Borys Lang,,,
27,0.221138,0.380674,0.398188,Borys Lang,,,
28,0.303556,0.374415,0.322029,manymagpie,,,
29,0.504145,0.115831,0.380023,Attack Helicopter,,,
30,0.4384,0.282927,0.278673,Attack Helicopter,,,
31,0.269846,0.211532,0.518621,manymagpie,,,
32,0.321711,0.254902,0.423387,manymagpie,,,
33,0.41284,0.254588,0.332572,Borys Lang,,,
34,0.398771,0.185598,0.415631,Borys Lang,,,
35,0.300964,0.266128,0.432908,manymagpie,,,
36,0.239925,0.300113,0.459962,Attack Helicopter,,,
37,0.297625,0.288979,0.413397,manymagpie,,,
38,0.304286,0.319898,0.375816,Attack Helicopter,,,
39,0.346501,0.233547,0.419952,Borys Lang,,,
40,0.224182,0.09818,0.677638,manymagpie,,,
41,0.55918,0.196671,0.244148,Attack Helicopter,,,
42,0.491333,0.21231,0.296357,Attack Helicopter,,,
43,0.218009,0.27837,0.503621,manymagpie,,,
44,0.423367,0.279596,0.297037,Attack Helicopter,,,
45,0.480314,0.141813,0.377873,Borys Lang,,,
46,0.303591,0.335321,0.361088,Borys Lang,,,
47,0.628989,0.177234,0.193776,Attack Helicopter,,,
48,0.223218,0.320456,0.456326,Attack Helicopter,,,
49,0.333214,0.313606,0.353181,Borys Lang,,,
50,0.371397,0.30169,0.326912,Borys Lang,,,
51,0.433246,0.236169,0.330585,Borys Lang,,,
52,0.244184,0.346136,0.40968,Attack Helicopter,,,
53,0.342527,0.179362,0.478111,Borys Lang,,,
54,0.292382,0.311008,0.39661,Borys Lang,,,
55,0.24133,0.353302,0.405368,Attack Helicopter,,,
56,0.290911,0.37793,0.331159,Attack Helicopter,,,
57,0.227166,0.462411,0.310423,Attack Helicopter,,,
58,0.193258,0.244055,0.562687,Attack Helicopter,,,
59,0.341937,0.344487,0.313576,Borys Lang,,,
60,0.127154,0.381528,0.491318,Attack Helicopter,,,
61,0.379524,0.306955,0.313521,Borys Lang,,,
62,0.221063,0.454527,0.32441,Attack Helicopter,,,
63,0.136726,0.412943,0.450331,manymagpie,,,
64,0.165562,0.510492,0.323945,Attack Helicopter,,,
65,0.145631,0.5252,0.32917,Attack Helicopter,,,
66,0.333846,0.244243,0.421911,Borys Lang,,,
67,0.777508,0.077776,0.144716,manymagpie,,,
68,0.041888,0.862816,0.095296,manymagpie,,,
69,0.25424,0.242118,0.503643,Borys Lang,,,
70,0.603287,0.156629,0.240084,Attack Helicopter,,,
71,0.134287,0.221419,0.644294,Borys Lang,,,
72,0.304764,0.327798,0.367438,manymagpie,,,
73,0.361869,0.312507,0.325624,manymagpie,,,
74,0.091889,0.397793,0.510319,Borys Lang,,,
75,0.57869,0.081401,0.339909,Attack Helicopter,,,
76,0.268053,0.525229,0.206718,manymagpie,,,
77,0.237383,0.349601,0.413016,Borys Lang,,,
78,0.244149,0.550252,0.205599,manymagpie,,,
79,0.341216,0.381057,0.277727,Borys Lang,,,
80,0.194102,0.356978,0.44892,manymagpie,,,
81,0.231442,0.51213,0.256428,manymagpie,,,
82,0.507376,0.356097,0.136527,Borys Lang,,,
83,0.272893,0.323339,0.403768,Borys Lang,,,
84,0.17891,0.329483,0.491607,manymagpie,,,
85,0.19798,0.557002,0.245018,Borys Lang,,,
86,0.616419,0.163629,0.219953,Attack Helicopter,,,
87,0.270882,0.279106,0.450013,manymagpie,,,
88,0.587277,0.224385,0.188338,Attack Helicopter,,,
89,0.351268,0.265526,0.383206,Borys Lang,,,
aiB,User1,User2,User3,user,,,
0,0.333333,0.333333,0.333333,knackerkitten,,,
1,1,0,0,drasticmum,,,
2,0.518302,0.481698,0,individual mind,,,
3,0.192624,0.17977,0.627606,Raspywoodchuck,,,
4,0.278838,0.45117,0.269993,knackerkitten,,,
